author,year,identifier,title,journal,DOI,abstract,author1,journal_detail,pubtype,language,source,collection_number,occurrence_number,reference_key,reference_display
"Abbass H. L., ",1972,,Paleontological studies of some Saudi Arabian lower Tertiary fossils,Egyptian Journal of Geology,,,Abbass,,Journal article,unknown,PBDB,PBDB_42459,"PBDB_24262, PBDB_24263, PBDB_24264, PBDB_24265, PBDB_24266, PBDB_24267, PBDB_24268, PBDB_24270, PBDB_24269",abbass 1972,Abbass 1972
"Abe T., Sugiyama M., T. Nakamura, T. Hiraoka, K. Hirota",1982,,"New occurrence of Desmostylus from the Miocene Fujina Formation, Shimane prefecture",Earth Science,,,Abe,,Journal article,Japanese,PBDB,PBDB_102978,PBDB_12198,abe et al. 1982,Abe et al. 1982
"Aberhan, M. & Bussert, R. & Heinrich, W.-D. & Schrank, E. & Schultka, S. & Sames, B. & Kriwet, J. & Kapilima, S.",2002,,"Palaeoecology and depositional environments of the Tendaguru Beds (Late Jurassic to Early Cretaceous, Tanzania).",Geowissenschaftliche Reih,10.1002/mmng.20020050103,"The Late Jurassic to Early Cretaceous Tendaguru Beds (Tanzania, East Africa) have been well known for nearly a century for their diverse dinosaur assemblages. Here, we present sedimentological and palaeontological data collected by the German-Tanzanian Tendaguru Expedition 2000 in an attempt to reconstruct the palaeo-ecosystems of the Tendaguru Beds at their type locality. Our reconstructions are based on sedimentological data and on a palaeoecological analysis of macroinvertebrates, microvertebrates, plant fossils and microfossils (ostracods, foraminifera, charophytes, palynomorphs). In addition, we included data from previous expeditions, particularly those on the dinosaur assemblages.

The environmental model of the Tendaguru Beds presented herein comprises three broad palaeoenvironmental units in a marginal marine setting: (1) Lagoon-like, shallow marine environments above fair weather wave base and with evidence of tides and storms. These formed behind barriers such as ooid bar and siliciclastic sand bar complexes and were generally subject to minor salinity fluctuations. (2) Extended tidal flats and low-relief coastal plains. These include low-energy, brackish coastal lakes and ponds as well as pools and small fluvial channels of coastal plains in which the large dinosaurs were buried. Since these environments apparently were, at best, poorly vegetated, the main feeding grounds of giant sauropods must have been elsewhere. Presumably, tidal flats and coastal plains were visited by dinosaurs primarily during periods of drought. (3) Vegetated hinterland. Vegetation of this environment can only be inferred indirectly from plant material transported into the other depositional environments. Vegetation was dominated by a diverse conifer flora, which apparently formed part of the food source of large herbivorous sauropods. Evidence from various sources suggests a subtropical to tropical palaeoclimate, characterised by seasonal rainfall alternating with a pronounced dry season during the Late Jurassic. In Early Cretaceous times, sedimentological and palaeontological proxies suggest a climatic shift towards more humid conditions.",Aberhan,"Mitteilungen aus dem Museum für Naturkunde in Berlin, Geowissenschaftliche Reihe, 5: 19–44",Journal article,English,L,L_2636,"L_3874, L_3875, L_3876",aberhan et al. 2002,Aberhan et al. 2002
"Acosta Hospitaleche C., Griffin M., M. Asensio, A. L. Cione, C. Tambussi",2013,,Middle Cenozoic penguin remains from the Patagonian Cordillera,Andean Geology,10.5027/andgeoV40n32-a0?5?,,Acosta Hospitaleche,,Journal article,English,PBDB,PBDB_152083,PBDB_14323,acosta hospitaleche et al. 2013,Acosta Hospitaleche et al. 2013
"Acosta Hospitaleche C., Reguero M., ",2010,,"First articulated skeleton of Palaeeudyptes gunnari from the Late Eocene of Isla Marimbo (Seymour Island), Antarctica",Antarctic Science,,,Acosta Hospitaleche,,Journal article,English,PBDB,PBDB_100290,"PBDB_12040, PBDB_12041",acosta hospitaleche & reguero 2010,Acosta Hospitaleche & Reguero 2010
"Adegoke O. S., ",1977,,Stratigraphy and Paleontology of the Ewekoro Formation (Paleocene) of Southwestern Nigeria,Bulletins of American Paleontology,,,Adegoke,,unknown,unknown,PBDB,PBDB_7791,"PBDB_27219, PBDB_27220, PBDB_27221",adegoke 1977,Adegoke 1977
"Adegoke O.S., ",1968,,Eocene stratigraphy of southern Nigeria,Memoires du Bureau de Recherches Geologiques et Minieres,,,Adegoke,,Journal article,English,PBDB,PBDB_60711,"PBDB_25776, PBDB_25777, PBDB_25778, PBDB_25779, PBDB_25780, PBDB_25782, PBDB_25783, PBDB_25784, PBDB_25785, PBDB_25786, PBDB_25787, PBDB_25788, PBDB_25789, PBDB_27184, PBDB_27185, PBDB_27186, PBDB_27187, PBDB_27188, PBDB_27189, PBDB_27190, PBDB_27191, PBDB_27192, PBDB_25781",adegoke 1968,Adegoke 1968
"Adnet S., Antoine P. -O., S. R. Hassan Baqri, J. -Y. Crochet, L. Marivaux, J. -L. Welcomme, G. Métais",2007,,"New tropical carcharhinids (chondrichthyes, Carcharhiniformes) from the late Eocene-early Oligocene of Balochistan, Pakistan: Paleoenvironmental and paleogeographic implications",Journal of Asian Earth Sciences,10.1016/j.jseaes.2006.10.002,,Adnet,,Journal article,English,PBDB,"PBDB_150337, PBDB_150430, PBDB_151056, PBDB_78362, PBDB_78423, PBDB_78520","PBDB_14175, PBDB_14176, PBDB_14177, PBDB_14178, PBDB_14179, PBDB_14180, PBDB_14181, PBDB_14182, PBDB_14183, PBDB_14184, PBDB_14185, PBDB_14186, PBDB_14187, PBDB_14188, PBDB_14190, PBDB_14191, PBDB_14192, PBDB_14193, PBDB_14194, PBDB_14211, PBDB_24849, PBDB_27226, PBDB_27227, PBDB_27228, PBDB_27229, PBDB_27230, PBDB_27231, PBDB_27232, PBDB_27233, PBDB_27234, PBDB_27235, PBDB_27242, PBDB_27243, PBDB_27244, PBDB_27245, PBDB_27246, PBDB_27247, PBDB_27248, PBDB_27249, PBDB_27250, PBDB_27251, PBDB_27643",adnet et al. 2007,Adnet et al. 2007
"Adnet S., Balbino A. C., M. T. Antunes, J. M. Marin-Ferrer",2009,a,New fossil teeth of the white shark (Carcharodon carcharias) from the Early Pliocene of Spain. Implication for its paleoecology in the Mediterranean,"Neus Jahrbuch fur Geologie und Palaontologie, Abhandlungen",10.1127/0077-7749/2009/0029,,Adnet,,Journal article,English,PBDB,PBDB_118104,PBDB_12594,adnet et al. 2009a,Adnet et al. 2009a
"Adnet S., Capetta H., R. Mertiniene",2008,,Re-evaluation of squaloid shark records from the Albian and Cenomanian of Lithuania,Cretaceous Research,10.1016/j.cretres.2008.01.014,,Adnet,,Journal article,English,PBDB,"PBDB_213709, PBDB_213710, PBDB_213711, PBDB_213713, PBDB_213716, PBDB_213719, PBDB_213720, PBDB_90730, PBDB_90731","PBDB_19351, PBDB_19366, PBDB_19386, PBDB_19390, PBDB_19400, PBDB_19408, PBDB_19417, PBDB_19418, PBDB_19419, PBDB_1037, PBDB_10370",adnet et al. 2008,Adnet et al. 2008
"Adnet S., Cappetta H., J. Reynders",2006,b,Nouveaux genres de Squaliformes (Chondrichthyes) du Paléogéne des Landes (Sud-Ouest de la France) [New squaliforms genera (Chondrichthyes: Squalomorphii) from the Paleogene of the Landes Department (southwestern France),Paläontologische Zeitschrift,10.1007/bf02988398,,Adnet,,Journal article,French,PBDB,"PBDB_61215, PBDB_61259","PBDB_25794, PBDB_25795, PBDB_25809, PBDB_25810",adnet et al. 2006b,Adnet et al. 2006b
"Adnet S., Cappetta H., R. Tabuce",2010,,A Middle-Late Eocene vertebrate fauna (marine fish and mammals) from southwestern Morocco; preliminary report: age and palaeobiogeographical implications,Geological Magazine,10.1017/s0016756810000348,,Adnet,,Journal article,English,PBDB,"PBDB_96686, PBDB_96688","PBDB_10618, PBDB_10619, PBDB_1062, PBDB_10620, PBDB_10621, PBDB_10622, PBDB_10623, PBDB_10624, PBDB_10625, PBDB_10626, PBDB_10627, PBDB_10628, PBDB_10629, PBDB_1063, PBDB_10630, PBDB_10631, PBDB_10632, PBDB_10633, PBDB_10634, PBDB_10635, PBDB_10636, PBDB_10637, PBDB_10638, PBDB_10639, PBDB_1064, PBDB_10640, PBDB_10641, PBDB_10642, PBDB_10643, PBDB_10644, PBDB_10645, PBDB_10646, PBDB_10647, PBDB_10648, PBDB_10649, PBDB_1065, PBDB_10650, PBDB_10651, PBDB_10652, PBDB_27682, PBDB_10655, PBDB_10656, PBDB_10657, PBDB_10658, PBDB_10659, PBDB_1066, PBDB_10660, PBDB_10661, PBDB_10662, PBDB_10663, PBDB_10664, PBDB_10665, PBDB_10666, PBDB_10667, PBDB_10668, PBDB_10669, PBDB_1067, PBDB_10670, PBDB_10671, PBDB_10672, PBDB_10673, PBDB_10674, PBDB_10675, PBDB_10676, PBDB_10677, PBDB_10678, PBDB_10679, PBDB_1068, PBDB_10680, PBDB_27683",adnet et al. 2010,Adnet et al. 2010
"Adnet S., Cappetta H., S. Elnahas, A. Strougo",2011,,"A new Priabonian Chondrichthyans assemblage from the Western desert, Egypt: Correlation with the Fayum oasis",Journal of African Earth Sciences,10.1016/j.jafrearsci.2011.04.005,,Adnet,,Journal article,English,PBDB,PBDB_145984,"PBDB_14050, PBDB_14051, PBDB_14052, PBDB_14053, PBDB_14054, PBDB_14055, PBDB_14056, PBDB_14057, PBDB_14058, PBDB_14059, PBDB_14060, PBDB_14061, PBDB_14062, PBDB_14063",adnet et al. 2011,Adnet et al. 2011
"Adnet S., Gismondi R. S., P.-O. Antoine",2014,,Comparisons of dental morphology in river stingrays (Chondrichthyes: Potamotrygonidae) with new fossils from the middle Eocene of Peruvian Amazonia rekindle debate on their evolution,Naturwissenschaften,10.1007/s00114-013-1127-1,,Adnet,,Journal article,English,PBDB,PBDB_144474,PBDB_13872,adnet et al. 2014,Adnet et al. 2014
"Adnet S., Guinot G., H. Cappetta, J. L. Welcomme",2012,b,"Oldest evidence of bramble sharks (Elasmobranchii, Echinorhinidae) in the Lower Cretaceous of southeast France and the evolutionary history of orbitostylic sharks",Cretaceous Research,10.1016/j.cretres.2011.11.021,,Adnet,,Journal article,English,PBDB,PBDB_213663,L_10653,adnet et al. 2012b,Adnet et al. 2012b
"Adnet S., Hoseinzadeh R., M. T. Antunes, A. C. Balbino, V. A. Kozlov, H. Cappetta",2009,b,"Review of the enigmatic Eocene shark genus Xiphodolamia (Chondrichthyes, Lamniformes) and description of a new species recovered from Angola, Iran and Jordan",Journal of African Earth Sciences,10.1016/j.jafrearsci.2009.04.005,,Adnet,,Journal article,English,PBDB,PBDB_149604,"PBDB_14161, PBDB_23675",adnet et al. 2009b,Adnet et al. 2009b
"Adnet S., Marivaux L., H. Cappetta, A.-L. Charruault, E. M. Essid, S. Jiquel, H. K. Ammar, B. Marandat, W. Marzougui, G. Merzeraud, R. Temani, M. Vianey-Liaud, R. Tabuce",2020,,"Diversity and renewal of tropical elasmobranchs around the Middle Eocene Climatic Optimum (MECO) in North Africa: New data from the lagoonal deposits of Djebel el Kébar, Central Tunisia",Palaeontologia Electronica,10.26879/ 1085,,Adnet,,Journal article,English,PBDB,,"PBDB_16138, PBDB_16139, PBDB_16140, PBDB_16141, PBDB_16142, PBDB_16143, PBDB_16144, PBDB_16145, PBDB_16146, PBDB_16147, PBDB_16148, PBDB_16149, PBDB_16150, PBDB_16151, PBDB_16152, PBDB_16153, PBDB_16154, PBDB_16155, PBDB_16156, PBDB_16157, PBDB_16158, PBDB_16159, PBDB_16160, PBDB_16161, PBDB_16162, PBDB_16163, PBDB_16164",adnet et al. 2020,Adnet et al. 2020
"Adnet, S.",2000,,"Les élasmobranches fossiles du Paléogène des Landes (Sud-Ouest, France). Implications dans la connaissance des communautés d'élasmobranches d'eaux profondes. Evolution des Squaliformes et paléoécologie.",Universite Montpellier,,"Since two centuries, the fossil record of selachians (Sharks, Skates and Rays) is mainly constituted by fossil shallower fishes of epi-continental seas. The discovery of new selachian faunas from the bathyal marls of the Paleogene of Landes (South-western of France) allows to take into account the real diversity of fossil deepwater communities in comparison with the Recent ones. The systematic study of that inedit material fills the considerable gap in our knowledge of the diversity of fossil deepwater selachians. In addition to numerous unnamed taxa, 31 species and 9 genera have been described for the first time, thus testifying to the great diversity of the order Squaliformes (17 species). A cladistic analysis on dental characters of most squaloid genera has been performed, and has led to propose an evolutionary history of Squaliformes. The latter seems to have been strongly related to major events that occurred in cretaceous seas. In a second part, the observation of the global distribution of Recent selachians showed complex but realrelationships between the faunal structure and geographic or bathymetric parameters. In this context, several paleoecological approaches have been investigated and tested on selachian faunas, as paleobathymetric and paleogeographic indicators. The interests of such studies are obvious for paleoenvironmental reconstitutions and are discussed. ",Adnet,"211 p., 23 fig., annexes, 40 pl. Dipl. Doct., Univ. Montpellier II.",Thesis,French,L,"L_1492, L_1493","L_2164, L_21640, L_21641, L_21643, L_21644, L_21645, L_21646, L_21647, L_21648, L_21649, L_2165, L_21650, L_21651, L_21652, L_21653, L_21654, L_21655, L_21656, L_21657, L_21658, L_21659, L_2166, L_21660, L_21661, L_21664, L_21665, L_21666, L_21667, L_21668, L_21669, L_2167, L_21670, L_21671, L_21672, L_21673, L_21674, L_21675, L_21676, L_21677, L_21678, L_21679, L_2168, L_21680, L_21681, L_21682, L_21683, L_21684, L_21685, L_21686, L_21687, L_21688, L_21689, L_2169, L_21690, L_21691, L_21692, L_21693, L_21694, L_21695, L_21697, L_21698, L_21699, L_217, L_2170, L_21700, L_21701, L_21702, L_21703, L_21704, L_21705, L_21706, L_21707, L_21708, L_21709, L_2171, L_21710, L_21711, L_21712, L_21713, L_21714, L_21715, L_21716, L_21717, L_21718, L_21719, L_2172, L_21720, L_21721, L_21722, L_21723, L_21724, L_21725, L_30305, L_21696",adnet 2000,Adnet 2000
"Adnet, S. & Cappetta, H.",2008,,"New fossil triakid sharks from the Eocene of Prémontré, France, and comments on fossil record of the family.",Acta Palaeontologica Polonica,10.4202/app.2008.0306,"During the last two decades, an abundant selachian assemblage has been collected from the late Ypresian (NP12)
fossiliferous sands of Prémontré (Aisne, northern France) but has received little attention. Sharks of the family Triakidae (Carcharhiniformes) are particularly well represented and all are described and figured herein. Among them, two new species of the genus Galeorhinus are described: G. duchaussoisi sp. nov. and G. louisi sp. nov.; these are compared to the common Paleogene G. ypresiensis which is refigured. Another triakid taxon, the genus Gomphogaleus gen. nov., is described. Most of the triakids have been recorded elsewhere in the North Atlantic region, suggesting a wider distribution than expected for these small sharks during the Paleogene. The present paper updates the list of selachians from Prémontré, bringing the number of taxa from 19 to 33 (including 22 sharks and 11 batoids) and improving our knowledge of the ancient North Atlantic Ypresian selachian fauna. Despite this vastly improved record, it is clear that fossil data are still very incomplete and insufficient for calibrating phylogenetic hypotheses of living forms. Review of the Prémontré fauna shows that the Triakidae were much more diverse and broadly distributed than at present, suggesting that the limited distribution and low diversity of living forms is probably a recent phenomenon.",Adnet,"Acta Palaeontologica Polonica, 53 (3): 433–448",Journal article,English,L,,"L_26451, L_26452, L_26453, L_26454, L_26455",adnet & cappetta 2008,Adnet & Cappetta 2008
"Adnet, S. & Cappetta, H. & Beard, C. & Marivaux, L. & Marandat, B. & Chaimanee, Y. & Jaeger, J.-J. & Thauratun, S. & Soe, A.N.",2008,a,"First myliobatiform teeth (Elasmobranchii, Neoselachii) from the Pondaung Formation (late middle Eocene) of Central Myanmar.",Neues Jahrbuch für Geologie und Paläontologie,,"Some elasmobranch teeth, belonging to the batoid genera Dasyatis and Ouledia, have been collected for the first time in three late middle Eocene localities of the Pondaung Formation from Central Myanmar, which are known for their abundant continental vertebrate remains. Considering the environmental conditions, the occurrences of these elasmobranch teeth are indicative of the proximity of the sea shore and/or deltaic systems, which would have allowed to these rays to enter fresh waters.",Adnet,"Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen, 247 (3): 335–340, 2 fig. ",Journal article,English,L,"L_1951, L_1952, L_1953","L_28465, L_28466, L_28467, L_28468",adnet et al. 2008a,Adnet et al. 2008a
"Adnet, S. & Cappetta, H. & Guinot, G. & Notarbartolo Di Sciara, G.",2012,a,Evolutionary history of the devilrays (Chondrichthyes: Myliobatiformes) from fossil and morphological inference. ,"Zoological Journal of the Linnean Society,",10.1111/j.1096-3642.2012.00844.x,"The exact affinities of the fossil teeth attributed to the devilrays (mobulids) are critical for resolving the debated origin of these giant pelagic rays amongst Myliobatiformes and the timing of their evolution toward planktivory. We performed the first detailed comparative description of teeth belonging to most of the living and fossil mobulids. Based on a survey of living devilrays, three dental morphologies are newly identified as cobblestone tooth plates, comb-like teeth, and peg-like teeth. In addition, all extinct mobulid species are reviewed with comments on their dentition, fossil record, and geographical distribution. As a result, three fossil mobulid taxa are newly described from the Late Eocene of south-west Morocco (Argoubia barbei gen. et sp. nov., Oromobula dakhlaensis gen. et sp. nov., and Eoplinthicus underwoodi sp. nov.). This has permitted the first assessment of the phylogenetic positions of extinct and extant species of mobulids, using cladistic analyses and a combined data set of nondental anatomical characters from the literature and the dental characters defined here. Our new results support the monophyly of mobulids including all living and most extinct species and indicate that mobulids are closely related to rhinopterids. They also indicate that there was a recent split within Mobulidae into the three tooth morphology groups that we describe in this paper. This work provides clues to the evolutionary history of this clade since the Early Eocene, including the gradual lack in tooth interlocking toward the filter-feeding strategy, whereas the preservation of cusped teeth without feeding function in modern filter-feeder mobulids is interpreted as a tool for precopulatory purposes.",Adnet,"Zoological Journal of the Linnean Society, 166 (1): 132–159",Journal article,English,L,"L_1208, L_1210","L_1205, L_1208, L_10654, L_10681, PBDB_19302",adnet et al. 2012a,Adnet et al. 2012a
"Adnet, S. & Cappetta, H. & Morrison, K.",2013,,A Giant frilled shark from the Late Cretaceous of Western Canada. Abstract.,6th International Meeting on Mesozoic Fishes – Diversification and Diversity Patterns,,abstract in copyright,Adnet,"In: SCHWARZ, C. & KRIWET, J. (editors): 6th International Meeting on Mesozoic Fishes – Diversification and Diversity Patterns, Vienna, Austria August 4th–10th, 2013: 5",Abstract,English,L,L_2731,L_4147,adnet et al. 2013,Adnet et al. 2013
"Adnet, S. & Cappetta, H. & Nakaya, K.",2006,a,Dentition of etmopterid shark Miroscyllium (Squaliformes) with comments on the fossil record of lanternsharks.,Cybium,,"Although modern lantern sharks (Etmopteridae, Squaliformes) are taxonomically diverse, their phylogenetic relationships remain unclear. Numerous fossil ctmoptcrids have been recently discovered, and their geologic occurrences are reviewed here. The dentition of the rare recent etmopterid Miroscyllium sheikoi is described. The species shows peculiar ontogenetic changes in the morphology of lower and upper teeth, and allows to assign some fossil material described as Centroscyllium by Ledoux (1972) to Miroscyllium. Moreover, the presence, in Miroscyllium sheikoi, of a morphological transitional dental type between Etmopterus and Centroscyllium, and its discovery in the fossil record allow to propose an alternative way to contribute to the phylogenetic frameworks.",Adnet,"Cybium, 30 (4): 305-312, 4 fig.",Journal article,English,L,L_155,L_22007,adnet et al. 2006a,Adnet et al. 2006a
"Adnet, S. & Cappetta, H. & Reynders, J.",2008,b,Contribution of Eocene sharks and rays from southern France to the history of deep-sea selachians.,Acta Geologica Polonica,,"Fossil deep-sea selachians are rare and their diversity underestimated as a consequence of the scarcity of available outcrops of sediments containing them. Here we report a new fossil locality from theMiddle Eocene of southwestern France and give a first synthesis of the deep-sea deposits of this area which have yielded one of the richest fossil selachian faunas ever to have inhabited the continental slope. The fossil records of deep-sea sharks and rays are discussed in the context of these new fossil occurrences, a literature review and the recent phylogenetic hypothesis. ",Adnet,"Acta Geologica Polonica, 58 (2): 257–260",Journal article,English,L,L_1117,"L_11578, L_11579, L_1158, L_11580, L_11581, L_11582, L_11583, L_11584, L_11585, L_11586, L_11587, L_11588, L_11589, L_1159, L_11590, L_11591, L_11592, L_11593, L_11594, L_11595, L_11596, L_11597, L_11598, L_11599, L_116, L_1160, L_11600, L_11601, L_11602, L_11603, L_11604, L_11605, L_11606, L_11607, L_11608, L_11609, L_1161, L_11610, L_11611",adnet et al. 2008b,Adnet et al. 2008b
"Adnet, S. & Martin, R.A.",2007,,Increase of body size in sixgill sharks with change in diet as a possible background of their evolution.,Historical Biology,10.1080/08912960701194461,"Body size variation of a predator is a simple way to follow the main changes in its food source during its life history or along its evolution in ecology and paleoecology, respectively. Here, we present possible first evidence of such predator-prey coevolution through the study of the body size evolution among sixgill sharks (genus Hexanchus) inferred from their fossil record and by comparison to the life history of its two recent species. As for the observed ontogenic diet change of the living bluntnose sixgill shark (H. griseus), its ancestors appear to have developed a similar penchant for dining on marine mammals at the end of the Paleogene with a remarkably well-correlated timing ",Adnet,"Historical Biology, 19 (4): 279-289",Journal article,English,L,"L_624, L_625, L_626, L_627, L_628, L_629, L_630, L_631, L_632, L_633, L_634, L_635, L_636, L_637, L_638, L_639, L_640, L_641, L_642, L_643, L_644, L_645, L_646, L_647, L_648, L_649, L_650, L_651, L_652, L_653, L_654, L_655, L_656, L_657, L_658","L_7997, L_7998, L_7999, L_8, L_80, L_800, L_8003, L_8004, L_8005, L_8006, L_8007, L_8008, L_8009, L_801, L_8010, L_8011, L_8013, L_8014, L_8015, L_8016, L_8017, L_8018, L_8019, L_802, L_8020, L_8021, L_8023, L_8024, L_8025, L_8026, L_8027, L_8028, L_8029, L_803, L_8030",adnet & martin 2007,Adnet & Martin 2007
"Adnet, S. & Mouana, M. & Charruault, A.-L. & Essid, E.M. & Ammar, H.K. & Marzougui, W. & Merzeraud, G. & Tabuce, R. & Vianey-Liaud, M. & Marivaux, L.",2018,,"Teeth, fossil record and evolutionary history of the cowtail stingray Pastinachus Rüppell, 1829.",Historical Biology,10.1080/08912963.2018.1431779,"Hypolophin ‘dasyatids’ are a common group of large stingrays today frequenting the Indo-Pacific inshores. Being often harvested in their restricted area, few are known about their biology and their evolutionary history despite a very peculiar dental pattern making it easy to track their fossil record. An abundant material consisting of isolated teeth from Late Bartonian (38–40 Ma) lagoonal deposits of Djebel el Kébar, Tunisia, allows to describe a new stingray, Pastinachus kebarensis nov. sp. This taxon represents the oldest occurrence for this genus but also the oldest fossil record for hypolophins. A dental comparison of these fossils with 3D rendered models of fresh specimens testifies that early hypolophin representatives had already a strongly arcuate and bulbous upper jaw, interlocking with a broad and elongated tooth plate on the lower jaw. This new fossil and its fossil relatives (here updated), indicate a pre-Bartonian origination for hypolophins in western Neotethys, and reveal a rapid and widespread colonization of the proto-Mediterranean Sea, western Atlantic and Indo-Pacific coasts during the late Paleogene–early Neogene. Finally, it is worth noting that early hypolophin representatives seemingly entered freshwater habitats occasionally as modern cowtail stingrays do.",Adnet,"Historical Biology, 31 (9): 1213-1222",Journal article,English,L,,L_16191,adnet et al. 2018,Adnet et al. 2018
"Adolfssen, J.",2012,,Palaeoenvironment and Shark Evolution across the K/T-boundary on Southern Zealand.,University of Copenhagen,,"The chondrichthyan faunal evolution across the Cretaceous/Tertiary-boundary, have been analysed from collected fossil shark teeth from Stevns Klint, Faxe Kalkbrud and a few other localities in Denmark. The teeth have been collected from the upper Maastrichtian Chalk, the K/T-boundary clay Fiskeler, the early Danian Cerithium Limestone and the middle Danian Bryozoan Limestone. Furthermore oxygen isotopes extracted from the teeth revealed the temperature development across the boundary and yielded indications on paleobathymetry. The chondrichthyan fauna at Stevns Klint during the Late Maastrichtian was very diverse with at least 27 different species. A major reduction of fauna diversity took place in the uppermost Maastrichtian marl, reducing the fauna to only four species prior to the impact layer of the boundary clay. During the deposition of the Fiskeler, the chondrichthyan diversity started to increase and the majority of the species present in the Maastrichtian Chalk is also found in the upper Fiskeler (layer V) and in the Cerithium Limestone. Only nine species went extinct (33%) which is in deep contrast to the Moroccan localities, where almost 96% of the species went extinct. The oxygen isotopes extracted from the shark teeth have revealed that the sea surface temperature fell slightly prior to the boundary and may have declined almost four degrees centigrade across the K/T-boundary. Subsequently the temperature rose during the deposition the upper layer of Fiskeler and the Cerithium Limestone. The striking fall in shark diversity prior to the boundary cannot be explained by a bolide impact and must have another explanation. This could have been caused by a sudden change in bathymetry. The calculated temperature range between sea surface and bottom water temperatures could suggest so. The extinction event which apparently almost devastated the low latitude chondrichthyan fauna in Morocco cannot be supported at Stevns Klint. The claimed major extinction event which has been assumed to have impacted the chondrichthyans at the K/T-boundary is here assumed to be primarily a result of the analysing technic used rather than a real extinction event. With the present data it is not possible to conclude whether the extinction event was a result of an instantly event or happened gradually, but the impact on the chondrichthyans was much less severe than previously assumed. By the mid Danian the shark fauna had changed radically from the uppermost Maastrichtian – lowermost Danian fauna presumably as a consequence of a change in bathymetry. ",Adolfssen,"Phd Thesis, Faculty of Science, University of Copenhagen",Thesis,English,L,"L_2732, L_2733, L_2734, L_2735, L_2736, L_2737, L_2738, L_2739, L_2740","L_4148, L_4149, L_415, L_4150, L_4151, L_4152, L_4153, L_4154, L_4155, L_4219, L_4157, L_4158, L_4159, L_416, L_4160, L_4161, L_4162, L_4163, L_4164, L_4165, L_4167, L_4168, L_4169, L_417, L_4170, L_4171, L_4172, L_4173, L_4174, L_4175, L_4176, L_4177, L_4178, L_4179, L_4180, L_4181, L_4182, L_4183, L_4184, L_4186, L_4187, L_4188, L_4189, L_419, L_4190, L_4191, L_4192, L_4246, L_4194, L_4195, L_4196, L_4198, L_4199, L_42, L_420, L_4200, L_4201, L_4202, L_4203, L_4204, L_4156, L_4206, L_4207, L_4208, L_4209, L_4226, L_4210, L_4211, L_4212, L_4213, L_4214, L_4215, L_4216, L_4217, L_4218, L_4193, L_422, L_4220, L_4221, L_4222, L_4223, L_4224, L_4235, L_4227, L_4228, L_4229, L_423, L_4230, L_4231, L_4232, L_4233, L_4234, L_4253, L_4236, L_4237, L_4238, L_4239, L_424, L_4240, L_4241, L_4242, L_4243, L_4244, L_4245, L_4205, L_4247, L_4248, L_4249, L_425, L_4250, L_4251, L_4254, L_4255, L_4256, L_4266, L_4225, L_4252, L_4166, L_418, L_4185, L_4197, L_421",adolfssen 2012,Adolfssen 2012
"Adolfssen, J. & Ward, D.J.",2015,,Neoselachians from the Danian (Early Paleocene) of Denmark.,Acta Palaeontologica Polonica,10.4202/app.2012.0123,"A diverse elasmobranch fauna was collected from the early Danian Rødvig Formation and the early to middle Danian Stevns Klint Formation at Stevns Klint and from the middle Danian Faxe Formation at Faxe, Denmark. Teeth from 27 species of sharks are described including the earliest records of Chlamydoselachus and Heptranchias howelli from Europe. The fauna collected at the Faxe quarry is rich in large species of shark including Sphenodus lundgreni and Cretalamna appendiculata and includes no fewer than four species of Hexanchiformes. The species collected yield an interesting insight into shark diversity in the Boreal Sea during the earliest Paleogene. The early Danian fauna recorded from the Cerithium Limestone represents an impoverished Maastrichtian fauna, whereas the fauna found in the slightly younger bryozoan limestone is representative of a pronounced cold water fauna. Several species that hitherto have only been known from the Late Cretaceous have been identified, clearly indicating that the K/T-boundary was not the end of the Cretaceous fauna; it lingered and survived into the early Danian.",Adolfssen,"Acta Palaeontologica Polonica, 60 (2): 313–338",Journal article,English,L,"L_1283, L_1284, L_1285, L_1286, L_1287","L_1491, L_1480, L_1481, L_1482, L_1483, L_1484, L_1485, L_1486, L_1487, L_1488, L_1489, L_149, L_1505, L_1492, L_1493, L_1494, L_1495, L_1496, L_1497, L_1498, L_1499, L_15, L_150, L_1500, L_1501, L_1502, L_1503, L_1512, L_1506, L_1507, L_1508, L_1509, L_151, L_1510, L_1511, L_1513, L_1514, L_1515, L_1516, L_1517, L_1490, L_1504",adolfssen & ward 2015,Adolfssen & Ward 2015
"Aguilera O. A., Garcia L., M. A. Cozzuol",2008,,Giant-toothed white sharks and cetacean trophic interaction from the Pliocene Caribbean Paraguaná Formation,Palaontologische Zeitschrift,10.1007/bf02988410,,Aguilera,,Journal article,English,PBDB,PBDB_107489,PBDB_12247,aguilera et al. 2008,Aguilera et al. 2008
"Aguilera O. A., Riff D., Bocquentin-Villanueva J.",2006,,"A new giant Purussaurus (Crocodyliformes, Alligatoridae) from the Upper Miocene Urumaco Formation, Venezuela.",Journal of Systematic Palaeontology,,,Aguilera,,Journal article,English,PBDB,PBDB_143319,,aguilera et al. 2006,Aguilera et al. 2006
