author,year,identifier,title,journal,keyword_time,keyword_place,described_species,described_genus,described_fam_ord,nov_fam,nov_gen,nov_sp,DOI,abstract,author1,journal_detail,pubtype,language,reference_display,reference_key
"Abbass H. L.,  , ",1972,,Paleontological studies of some Saudi Arabian lower Tertiary fossils,Egyptian Journal of Geology,,,,,,,,,,,Abbass,,Journal article,unknown,Abbass 1972,abbass 1972
"Abe T., Sugiyama M., T. Nakamura, T. Hiraoka, K. Hirota",1982,,"New occurrence of Desmostylus from the Miocene Fujina Formation, Shimane prefecture",Earth Science,,,,,,,,,,,Abe,,Journal article,Japanese,Abe et al. 1982,abe et al. 1982
"Aberhan, M. & Bussert, R. & Heinrich, W.-D. & Schrank, E. & Schultka, S. & Sames, B. & Kriwet, J. & Kapilima, S.",2002,,"Palaeoecology and depositional environments of the Tendaguru Beds (Late Jurassic to Early Cretaceous, Tanzania).",Geowissenschaftliche Reih,"Cretaceous, Early Cretaceous, Jurassic, Late Jurassic","Africa, Tanzania","Hybodus sp., Sphenodus sp., Engaibatis schultzei",,,,,,10.1002/mmng.20020050103,"The Late Jurassic to Early Cretaceous Tendaguru Beds (Tanzania, East Africa) have been well known for nearly a century for their diverse dinosaur assemblages. Here, we present sedimentological and palaeontological data collected by the German-Tanzanian Tendaguru Expedition 2000 in an attempt to reconstruct the palaeo-ecosystems of the Tendaguru Beds at their type locality. Our reconstructions are based on sedimentological data and on a palaeoecological analysis of macroinvertebrates, microvertebrates, plant fossils and microfossils (ostracods, foraminifera, charophytes, palynomorphs). In addition, we included data from previous expeditions, particularly those on the dinosaur assemblages.

The environmental model of the Tendaguru Beds presented herein comprises three broad palaeoenvironmental units in a marginal marine setting: (1) Lagoon-like, shallow marine environments above fair weather wave base and with evidence of tides and storms. These formed behind barriers such as ooid bar and siliciclastic sand bar complexes and were generally subject to minor salinity fluctuations. (2) Extended tidal flats and low-relief coastal plains. These include low-energy, brackish coastal lakes and ponds as well as pools and small fluvial channels of coastal plains in which the large dinosaurs were buried. Since these environments apparently were, at best, poorly vegetated, the main feeding grounds of giant sauropods must have been elsewhere. Presumably, tidal flats and coastal plains were visited by dinosaurs primarily during periods of drought. (3) Vegetated hinterland. Vegetation of this environment can only be inferred indirectly from plant material transported into the other depositional environments. Vegetation was dominated by a diverse conifer flora, which apparently formed part of the food source of large herbivorous sauropods. Evidence from various sources suggests a subtropical to tropical palaeoclimate, characterised by seasonal rainfall alternating with a pronounced dry season during the Late Jurassic. In Early Cretaceous times, sedimentological and palaeontological proxies suggest a climatic shift towards more humid conditions.",Aberhan,"Mitteilungen aus dem Museum für Naturkunde in Berlin, Geowissenschaftliche Reihe, 5: 19–44",Journal article,English,Aberhan et al. 2002,aberhan et al. 2002
"Acosta Hospitaleche C., Reguero M., ",2010,,"First articulated skeleton of Palaeeudyptes gunnari from the Late Eocene of Isla Marimbo (Seymour Island), Antarctica",Antarctic Science,,,,,,,,,,,Acosta Hospitaleche,,Journal article,English,Acosta Hospitaleche & Reguero 2010,acosta hospitaleche & reguero 2010
"Acosta Hospitaleche C., Griffin M., M. Asensio, A. L. Cione, C. Tambussi",2013,,Middle Cenozoic penguin remains from the Patagonian Cordillera,Andean Geology,,,,,,,,,10.5027/andgeoV40n32-a0?5?,,Acosta Hospitaleche,,Journal article,English,Acosta Hospitaleche et al. 2013,acosta hospitaleche et al. 2013
"Adegoke O. S.,  , ",1967,,A Probable Pogonophoran from the Early Oligocene of Oregon,Journal of Paleontology,,,,,,,,,,,Adegoke,,Journal article,English,Adegoke 1967,adegoke 1967
"Adegoke O.S.,  , ",1968,,Eocene stratigraphy of southern Nigeria,Memoires du Bureau de Recherches Geologiques et Minieres,,,,,,,,,,,Adegoke,,Journal article,English,Adegoke 1968,adegoke 1968
"Adegoke O. S.,  , ",1977,,Stratigraphy and Paleontology of the Ewekoro Formation (Paleocene) of Southwestern Nigeria,Bulletins of American Paleontology,,,,,,,,,,,Adegoke,,unknown,unknown,Adegoke 1977,adegoke 1977
"Adnet, S. & Cappetta, H.",2008,,"New fossil triakid sharks from the Eocene of Prémontré, France, and comments on fossil record of the family.",Acta Palaeontologica Polonica,"Paleogene, Eocene","Europe, France","Galeorhinus duchaussoisi, Galeorhinus louisi, Gomphogaleus rodgersi, Mustelus aff. vanderhoefti, Pachygaleus lefevrei,",,,,Gomphogaleus,"Galeorhinus duchaussoisi, Galeorhinus louisi,",10.4202/app.2008.0306,"During the last two decades, an abundant selachian assemblage has been collected from the late Ypresian (NP12)
fossiliferous sands of Prémontré (Aisne, northern France) but has received little attention. Sharks of the family Triakidae (Carcharhiniformes) are particularly well represented and all are described and figured herein. Among them, two new species of the genus Galeorhinus are described: G. duchaussoisi sp. nov. and G. louisi sp. nov.; these are compared to the common Paleogene G. ypresiensis which is refigured. Another triakid taxon, the genus Gomphogaleus gen. nov., is described. Most of the triakids have been recorded elsewhere in the North Atlantic region, suggesting a wider distribution than expected for these small sharks during the Paleogene. The present paper updates the list of selachians from Prémontré, bringing the number of taxa from 19 to 33 (including 22 sharks and 11 batoids) and improving our knowledge of the ancient North Atlantic Ypresian selachian fauna. Despite this vastly improved record, it is clear that fossil data are still very incomplete and insufficient for calibrating phylogenetic hypotheses of living forms. Review of the Prémontré fauna shows that the Triakidae were much more diverse and broadly distributed than at present, suggesting that the limited distribution and low diversity of living forms is probably a recent phenomenon.",Adnet,"Acta Palaeontologica Polonica, 53 (3): 433–448",Journal article,English,Adnet & Cappetta 2008,adnet & cappetta 2008
"Adnet, S. & Martin, R.A.",2007,,Increase of body size in sixgill sharks with change in diet as a possible background of their evolution.,Historical Biology,"Cretaceous, Tertiary, rezent",,"Hexanchus griseus, Hexanchus nakamurai, Hexanchus gigas, Hexanchus sp., Hexanchus andersoni, Hexanchus agassizi, Hexanchus casieri, Hexanchus tusbairicus, Hexanchus hookeri, Hexanchus microdon, Hexanchus collinsonae, Hexanchus gracilis",,,,,,10.1080/08912960701194461,"Body size variation of a predator is a simple way to follow the main changes in its food source during its life history or along its evolution in ecology and paleoecology, respectively. Here, we present possible first evidence of such predator-prey coevolution through the study of the body size evolution among sixgill sharks (genus Hexanchus) inferred from their fossil record and by comparison to the life history of its two recent species. As for the observed ontogenic diet change of the living bluntnose sixgill shark (H. griseus), its ancestors appear to have developed a similar penchant for dining on marine mammals at the end of the Paleogene with a remarkably well-correlated timing ",Adnet,"Historical Biology, 19 (4): 279-289",Journal article,English,Adnet & Martin 2007,adnet & martin 2007
"Adnet, S.",2000,,"Les élasmobranches fossiles du Paléogène des Landes (Sud-Ouest, France). Implications dans la connaissance des communautés d'élasmobranches d'eaux profondes. Evolution des Squaliformes et paléoécologie.",Universite Montpellier,"Paleogene, Eocene, Bartonian, Lutetian","Europe, France","Chlamydoselachus sp., Hexanchus agassizi, Heptranchias howelli, Echinorhinus sp., Orthechinorhinus pfeili, Centrophorus cf. granulosus, Deania angoumeensis, Centroscymnus cf. owstoni, Scymnodalatias cigalafulgosii, Dalatias sp., Isistius cf. trituratus, Squaliolus gasconensis, Mollisquama sp., Eosqualiolus aturensis, Angoumeius paradoxus, Squaliodalatias weltoni, Acrosqualiolus mirus, Etmopterus cahuzaci, Trigonognathus virginiae, Paraetmopterus nolfi, Pristiophorus lacipidinensis, Squatina prima, Heterodontus vincenti, Orectoloboides reyndersi, Orectoloboides sp., Hemiscyllium tailledisensis, Parascyllium sp., Pararhincodon germaini, Palaeorhincodon wardi, Eostegostoma aff. angustum, Carcharocles cf. sokolowi, Cretolamna aff. appendiculata, Mitsukurina sp., Mitsukurina cf. maslinensis, Anomotodon aff. sheppeyensis, Anomotodon kozlovi, Striatolamia macrota, Carcharias aff. gracilis, Carcharias hopei, Odontaspis winkleri, Isurolamna affinis, Isurus praecursor, Alopias cf. leeensis, Alopias aff. denticulatus, Abdounia recticona, Abdounia aff. minutissima, Physogaleus sp., Galeorhinus sp., Pachygaleus lefevrei, Triakis chalossensis, Iago sp., Xystrogaleus cappettai, Mustelus sp., Premontreia gilberti, Apristurus sereti, Scyliorhinus cf. woodwardi, Scyliorhinus sp., Scyliorhinus trifolius, Megascyliorhinus cooperi, Platyrhizoscyllium jaegeri, Casieria casieri, Foumtizia pattersoni, Foumtizia poudenxae, Rhynchobatus cf. vincenti, Rhinobatos bruxelliensis, Rhinobatos auribatensis, Raja marandati, Raja michauxi, Smithraja sp., Dasyatis sp., Hexatrygon senegasi, Coupatezia woutersi, Coupatezia miretrainensis, Coupatezia sp., Jacquhermania sp., Gymnura sp., Myliobatis sp., Burnhamia daviesi, Aturobatis aquensis, Torpedo acarinata, Torpedo pessanti, Narcine sp., ",,,,,,,"Since two centuries, the fossil record of selachians (Sharks, Skates and Rays) is mainly constituted by fossil shallower fishes of epi-continental seas. The discovery of new selachian faunas from the bathyal marls of the Paleogene of Landes (South-western of France) allows to take into account the real diversity of fossil deepwater communities in comparison with the Recent ones. The systematic study of that inedit material fills the considerable gap in our knowledge of the diversity of fossil deepwater selachians. In addition to numerous unnamed taxa, 31 species and 9 genera have been described for the first time, thus testifying to the great diversity of the order Squaliformes (17 species). A cladistic analysis on dental characters of most squaloid genera has been performed, and has led to propose an evolutionary history of Squaliformes. The latter seems to have been strongly related to major events that occurred in cretaceous seas. In a second part, the observation of the global distribution of Recent selachians showed complex but realrelationships between the faunal structure and geographic or bathymetric parameters. In this context, several paleoecological approaches have been investigated and tested on selachian faunas, as paleobathymetric and paleogeographic indicators. The interests of such studies are obvious for paleoenvironmental reconstitutions and are discussed. ",Adnet,"211 p., 23 fig., annexes, 40 pl. Dipl. Doct., Univ. Montpellier II.",Thesis,French,Adnet 2000,adnet 2000
"Adnet, S. & Cappetta, H. & Nakaya, K.",2006,a,Dentition of etmopterid shark Miroscyllium (Squaliformes) with comments on the fossil record of lanternsharks.,Cybium,"rezent, Miocene","Europe, France","Miroscyllium sheikoi, Miroscyllium sp.",,,,,,,"Although modern lantern sharks (Etmopteridae, Squaliformes) are taxonomically diverse, their phylogenetic relationships remain unclear. Numerous fossil ctmoptcrids have been recently discovered, and their geologic occurrences are reviewed here. The dentition of the rare recent etmopterid Miroscyllium sheikoi is described. The species shows peculiar ontogenetic changes in the morphology of lower and upper teeth, and allows to assign some fossil material described as Centroscyllium by Ledoux (1972) to Miroscyllium. Moreover, the presence, in Miroscyllium sheikoi, of a morphological transitional dental type between Etmopterus and Centroscyllium, and its discovery in the fossil record allow to propose an alternative way to contribute to the phylogenetic frameworks.",Adnet,"Cybium, 30 (4): 305-312, 4 fig.",Journal article,English,Adnet et al. 2006a,adnet et al. 2006a
"Adnet S., Cappetta H., J. Reynders",2006,b,Nouveaux genres de Squaliformes (Chondrichthyes) du Paléogéne des Landes (Sud-Ouest de la France) [New squaliforms genera (Chondrichthyes: Squalomorphii) from the Paleogene of the Landes Department (southwestern France),Paläontologische Zeitschrift,,,,,,,,,10.1007/bf02988398,,Adnet,,Journal article,French,Adnet et al. 2006b,adnet et al. 2006b
"Adnet S., Antoine P. -O., S. R. Hassan Baqri, J. -Y. Crochet, L. Marivaux, J. -L. Welcomme, G. Métais",2007,,"New tropical carcharhinids (chondrichthyes, Carcharhiniformes) from the late Eocene-early Oligocene of Balochistan, Pakistan: Paleoenvironmental and paleogeographic implications",Journal of Asian Earth Sciences,,,,,,,,,10.1016/j.jseaes.2006.10.002,,Adnet,,Journal article,English,Adnet et al. 2007,adnet et al. 2007
"Adnet S., Capetta H., R. Mertiniene",2008,,Re-evaluation of squaloid shark records from the Albian and Cenomanian of Lithuania,Cretaceous Research,,,,,,,,,10.1016/j.cretres.2008.01.014,,Adnet,,Journal article,English,Adnet et al. 2008,adnet et al. 2008
"Adnet, S. & Cappetta, H. & Beard, C. & Marivaux, L. & Marandat, B. & Chaimanee, Y. & Jaeger, J.-J. & Thauratun, S. & Soe, A.N.",2008,a,"First myliobatiform teeth (Elasmobranchii, Neoselachii) from the Pondaung Formation (late middle Eocene) of Central Myanmar.",Neues Jahrbuch für Geologie und Paläontologie,"Paleogene, Eocene","Asia, Myanmar",,,,,,,,"Some elasmobranch teeth, belonging to the batoid genera Dasyatis and Ouledia, have been collected for the first time in three late middle Eocene localities of the Pondaung Formation from Central Myanmar, which are known for their abundant continental vertebrate remains. Considering the environmental conditions, the occurrences of these elasmobranch teeth are indicative of the proximity of the sea shore and/or deltaic systems, which would have allowed to these rays to enter fresh waters.",Adnet,"Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen, 247 (3): 335–340, 2 fig. ",Journal article,English,Adnet et al. 2008a,adnet et al. 2008a
"Adnet, S. & Cappetta, H. & Reynders, J.",2008,b,Contribution of Eocene sharks and rays from southern France to the history of deep-sea selachians.,Acta Geologica Polonica,"Paleogene, Eocene, Bartonian","Europe, France",,"Chlamydoselachus sp., Hexanchus agassizi, Echinorhinus sp., Centrophorus cf. granulosus, Centroscymnus sp., Scymnodalatias cigalafulgosii, Somniosus sp., Isistius cf. trituratus, Eosqualiolus aturensis, Squaliodalatias sp., Acrosqualiolus mirus, Paraetmopterus nolfi, Pristiophorus aff. lacipidinensis, Squatina prima, Heterodontus vincenti, Hemiscyllium tailledisensis, Hemiscyllium cf. bruxeliensis, Pararhincodon aff. germaini, Eostegostoma aff. angustum, Orectoloboides reyndersi, Mitsukurina cf. maslinensis, Striatolamia sp., Isurolamna affinis, Abdounia sp., Physogaleus sp., Triakis sp., Galeorhinus cf. duchaussoisi, Iago sp., Mustelus sp., Premontreia gilberti, Apristurus sereti, Scyliorhinus sp., Raja marandati, Dasyatis sp., Coupatezia sp., Gymnura sp., Torpedo aff. acarinata",,"Squaliformes indet., Rhinobatoidei indet., ",,,,"Fossil deep-sea selachians are rare and their diversity underestimated as a consequence of the scarcity of available outcrops of sediments containing them. Here we report a new fossil locality from theMiddle Eocene of southwestern France and give a first synthesis of the deep-sea deposits of this area which have yielded one of the richest fossil selachian faunas ever to have inhabited the continental slope. The fossil records of deep-sea sharks and rays are discussed in the context of these new fossil occurrences, a literature review and the recent phylogenetic hypothesis. ",Adnet,"Acta Geologica Polonica, 58 (2): 257–260",Journal article,English,Adnet et al. 2008b,adnet et al. 2008b
"Adnet S., Balbino A. C., M. T. Antunes, J. M. Marin-Ferrer",2009,a,New fossil teeth of the white shark (Carcharodon carcharias) from the Early Pliocene of Spain. Implication for its paleoecology in the Mediterranean,"Neus Jahrbuch fur Geologie und Palaontologie, Abhandlungen",,,,,,,,,10.1127/0077-7749/2009/0029,,Adnet,,Journal article,English,Adnet et al. 2009a,adnet et al. 2009a
"Adnet S., Hoseinzadeh R., M. T. Antunes, A. C. Balbino, V. A. Kozlov, H. Cappetta",2009,b,"Review of the enigmatic Eocene shark genus Xiphodolamia (Chondrichthyes, Lamniformes) and description of a new species recovered from Angola, Iran and Jordan",Journal of African Earth Sciences,,,,,,,,,10.1016/j.jafrearsci.2009.04.005,,Adnet,,Journal article,English,Adnet et al. 2009b,adnet et al. 2009b
"Adnet S., Cappetta H., R. Tabuce",2010,,A Middle-Late Eocene vertebrate fauna (marine fish and mammals) from southwestern Morocco; preliminary report: age and palaeobiogeographical implications,Geological Magazine,,,,,,,,,10.1017/s0016756810000348,,Adnet,,Journal article,English,Adnet et al. 2010,adnet et al. 2010
"Adnet S., Cappetta H., S. Elnahas, A. Strougo",2011,,"A new Priabonian Chondrichthyans assemblage from the Western desert, Egypt: Correlation with the Fayum oasis",Journal of African Earth Sciences,,,,,,,,,10.1016/j.jafrearsci.2011.04.005,,Adnet,,Journal article,English,Adnet et al. 2011,adnet et al. 2011
"Adnet, S. & Cappetta, H. & Guinot, G. & Notarbartolo Di Sciara, G.",2012,a,Evolutionary history of the devilrays (Chondrichthyes: Myliobatiformes) from fossil and morphological inference. ,"Zoological Journal of the Linnean Society,","rezent, Paleogene, Eocene","Africa, Marocco","Mobula mobular, Mobula japanica, Manta birostris, Mobula tarapacana, Mobula thurstoni, Mobula munkiana, Mobula rochebrunei, Mobula hypostoma, Mobula loupianensis, Mobula pectinata, Mobula fragilis, Mobula melanyae, Argoubia barbei, Oromobula dakhlaensis, Eoplinthicus underwoodi","Cretomanta, Archaeomanta, Brachyrhizodus, Plinthicus, Burnhamia, Eomanta, ",,,"Argoubia, Oromobula","Argoubia barbei, Oromobula dakhlaensis, Eoplinthicus underwoodi",10.1111/j.1096-3642.2012.00844.x,"The exact affinities of the fossil teeth attributed to the devilrays (mobulids) are critical for resolving the debated origin of these giant pelagic rays amongst Myliobatiformes and the timing of their evolution toward planktivory. We performed the first detailed comparative description of teeth belonging to most of the living and fossil mobulids. Based on a survey of living devilrays, three dental morphologies are newly identified as cobblestone tooth plates, comb-like teeth, and peg-like teeth. In addition, all extinct mobulid species are reviewed with comments on their dentition, fossil record, and geographical distribution. As a result, three fossil mobulid taxa are newly described from the Late Eocene of south-west Morocco (Argoubia barbei gen. et sp. nov., Oromobula dakhlaensis gen. et sp. nov., and Eoplinthicus underwoodi sp. nov.). This has permitted the first assessment of the phylogenetic positions of extinct and extant species of mobulids, using cladistic analyses and a combined data set of nondental anatomical characters from the literature and the dental characters defined here. Our new results support the monophyly of mobulids including all living and most extinct species and indicate that mobulids are closely related to rhinopterids. They also indicate that there was a recent split within Mobulidae into the three tooth morphology groups that we describe in this paper. This work provides clues to the evolutionary history of this clade since the Early Eocene, including the gradual lack in tooth interlocking toward the filter-feeding strategy, whereas the preservation of cusped teeth without feeding function in modern filter-feeder mobulids is interpreted as a tool for precopulatory purposes.",Adnet,"Zoological Journal of the Linnean Society, 166 (1): 132–159",Journal article,English,Adnet et al. 2012a,adnet et al. 2012a
"Adnet S., Guinot G., H. Cappetta, J. L. Welcomme",2012,b,"Oldest evidence of bramble sharks (Elasmobranchii, Echinorhinidae) in the Lower Cretaceous of southeast France and the evolutionary history of orbitostylic sharks",Cretaceous Research,,,,,,,,,10.1016/j.cretres.2011.11.021,,Adnet,,Journal article,English,Adnet et al. 2012b,adnet et al. 2012b
"Adnet, S. & Cappetta, H. & Morrison, K.",2013,,A Giant frilled shark from the Late Cretaceous of Western Canada. Abstract.,6th International Meeting on Mesozoic Fishes – Diversification and Diversity Patterns,"Cretaceous, Late Cretaceous","North America, Canada",,,,,,,,abstract in copyright,Adnet,"In: SCHWARZ, C. & KRIWET, J. (editors): 6th International Meeting on Mesozoic Fishes – Diversification and Diversity Patterns, Vienna, Austria August 4th–10th, 2013: 5",Abstract,English,Adnet et al. 2013,adnet et al. 2013
"Adnet S., Gismondi R. S., P.-O. Antoine",2014,,Comparisons of dental morphology in river stingrays (Chondrichthyes: Potamotrygonidae) with new fossils from the middle Eocene of Peruvian Amazonia rekindle debate on their evolution,Naturwissenschaften,,,,,,,,,10.1007/s00114-013-1127-1,,Adnet,,Journal article,English,Adnet et al. 2014,adnet et al. 2014
"Adnet, S. & Mouana, M. & Charruault, A.-L. & Essid, E.M. & Ammar, H.K. & Marzougui, W. & Merzeraud, G. & Tabuce, R. & Vianey-Liaud, M. & Marivaux, L.",2018,,"Teeth, fossil record and evolutionary history of the cowtail stingray Pastinachus Rüppell, 1829.",Historical Biology,"rezent, Paleogene, Eocene, Bartonian","Africa, Tunesia","Pastinachus ater, Pastinachus kebarensis",,,,,Pastinachus kebarensis,10.1080/08912963.2018.1431779,"Hypolophin ‘dasyatids’ are a common group of large stingrays today frequenting the Indo-Pacific inshores. Being often harvested in their restricted area, few are known about their biology and their evolutionary history despite a very peculiar dental pattern making it easy to track their fossil record. An abundant material consisting of isolated teeth from Late Bartonian (38–40 Ma) lagoonal deposits of Djebel el Kébar, Tunisia, allows to describe a new stingray, Pastinachus kebarensis nov. sp. This taxon represents the oldest occurrence for this genus but also the oldest fossil record for hypolophins. A dental comparison of these fossils with 3D rendered models of fresh specimens testifies that early hypolophin representatives had already a strongly arcuate and bulbous upper jaw, interlocking with a broad and elongated tooth plate on the lower jaw. This new fossil and its fossil relatives (here updated), indicate a pre-Bartonian origination for hypolophins in western Neotethys, and reveal a rapid and widespread colonization of the proto-Mediterranean Sea, western Atlantic and Indo-Pacific coasts during the late Paleogene–early Neogene. Finally, it is worth noting that early hypolophin representatives seemingly entered freshwater habitats occasionally as modern cowtail stingrays do.",Adnet,"Historical Biology, 31 (9): 1213-1222",Journal article,English,Adnet et al. 2018,adnet et al. 2018
"Adnet S., Marivaux L., H. Cappetta, A.-L. Charruault, E. M. Essid, S. Jiquel, H. K. Ammar, B. Marandat, W. Marzougui, G. Merzeraud, R. Temani, M. Vianey-Liaud, R. Tabuce",2020,,"Diversity and renewal of tropical elasmobranchs around the Middle Eocene Climatic Optimum (MECO) in North Africa: New data from the lagoonal deposits of Djebel el Kébar, Central Tunisia",Palaeontologia Electronica,,,,,,,,,10.26879/ 1085,,Adnet,,Journal article,English,Adnet et al. 2020,adnet et al. 2020
"Adolfssen, J. & Ward, D.J.",2015,,Neoselachians from the Danian (Early Paleocene) of Denmark.,Acta Palaeontologica Polonica,"Paleogene, Paleocene, Danian","Europe, Denmark",,"Synechodus faxensis, Sphenodus lundgreni, Hexanchus microdon, Gladioserratus sp., Notidanodon brotzeni, Heptranchias howellii, Chlamydoselachus sp., Squalus gabrielsoni, Squaliodalatias sp., Centroscymnus praecursor, Squatina cranei, Parasquatina cappettai, Hemiscyllium hermani, Pararhincodon groessenssi, Delpitoscyllium planum, Heterodontus rugosus, Heterodontus sp., Carcharias aff. gracilis, Palaeohypotodus aff. bronni, Odontaspis speyeri, Striatolamia cederstroemi, Cretalamna appendiculata, Scyliorhinus cf. elongatus, Scyliorhinus biddlei, Crassescyliorhinus germanicus, Palaeogaleus cf. faujasi, Paratriakis curtirostris, ",,"Triakidae sp., ",,,10.4202/app.2012.0123,"A diverse elasmobranch fauna was collected from the early Danian Rødvig Formation and the early to middle Danian Stevns Klint Formation at Stevns Klint and from the middle Danian Faxe Formation at Faxe, Denmark. Teeth from 27 species of sharks are described including the earliest records of Chlamydoselachus and Heptranchias howelli from Europe. The fauna collected at the Faxe quarry is rich in large species of shark including Sphenodus lundgreni and Cretalamna appendiculata and includes no fewer than four species of Hexanchiformes. The species collected yield an interesting insight into shark diversity in the Boreal Sea during the earliest Paleogene. The early Danian fauna recorded from the Cerithium Limestone represents an impoverished Maastrichtian fauna, whereas the fauna found in the slightly younger bryozoan limestone is representative of a pronounced cold water fauna. Several species that hitherto have only been known from the Late Cretaceous have been identified, clearly indicating that the K/T-boundary was not the end of the Cretaceous fauna; it lingered and survived into the early Danian.",Adolfssen,"Acta Palaeontologica Polonica, 60 (2): 313–338",Journal article,English,Adolfssen & Ward 2015,adolfssen & ward 2015
"Adolfssen, J.",2012,,Palaeoenvironment and Shark Evolution across the K/T-boundary on Southern Zealand.,University of Copenhagen,"Cretaceous, Late Cretaceous, Paleogene, Paleocene","Europe, Denmark","Sphenodus lundgreni, Paraorthacodus andersoni, Synechodus faxensis, Hexanchus cf. microdon, Gladioserratus sp., Notidanodon pectinatus, Notidanodon brotzeni, Heptranchias howelli, Chlamydoselachus sp., Squalus gabrielsoni, Megasqualus sp., Centroscymnus praecursor, Proetmopterus hemmooriensis, Squaliodalatias sp., Echinorhinus sp., Squatina cranei, Parasquatina cappettai, Pararhincodon groessenssi, Pararhincodon sp., Nebrius sp., Delpitoscyllium planum, Hemiscyllium cf. hermani, Palaeobrachaelurus sp., Heterodontus sp., Heterodontus cf. rugosus, Carcharias aff. Gracilis, Odontaspis speyeri, Striatolamia cederstroemi, Anomotodon plicatus, Palaeohypotodus cf. bronni, Cretalamna appendiculata, Squalicorax pristodontus, Pseudocorax affinis, Scyliorhinus elongatus, Scyliorhinus biddlei, Crassescyliorhinus germanicus, Paratriakis curtirostris, Palaeogaleus aff. faujasi, Palaeogaleus sp., Protospinax sp., Rhinobatos sp., Squatirhina kannensis, ",,,,,,,"The chondrichthyan faunal evolution across the Cretaceous/Tertiary-boundary, have been analysed from collected fossil shark teeth from Stevns Klint, Faxe Kalkbrud and a few other localities in Denmark. The teeth have been collected from the upper Maastrichtian Chalk, the K/T-boundary clay Fiskeler, the early Danian Cerithium Limestone and the middle Danian Bryozoan Limestone. Furthermore oxygen isotopes extracted from the teeth revealed the temperature development across the boundary and yielded indications on paleobathymetry. The chondrichthyan fauna at Stevns Klint during the Late Maastrichtian was very diverse with at least 27 different species. A major reduction of fauna diversity took place in the uppermost Maastrichtian marl, reducing the fauna to only four species prior to the impact layer of the boundary clay. During the deposition of the Fiskeler, the chondrichthyan diversity started to increase and the majority of the species present in the Maastrichtian Chalk is also found in the upper Fiskeler (layer V) and in the Cerithium Limestone. Only nine species went extinct (33%) which is in deep contrast to the Moroccan localities, where almost 96% of the species went extinct. The oxygen isotopes extracted from the shark teeth have revealed that the sea surface temperature fell slightly prior to the boundary and may have declined almost four degrees centigrade across the K/T-boundary. Subsequently the temperature rose during the deposition the upper layer of Fiskeler and the Cerithium Limestone. The striking fall in shark diversity prior to the boundary cannot be explained by a bolide impact and must have another explanation. This could have been caused by a sudden change in bathymetry. The calculated temperature range between sea surface and bottom water temperatures could suggest so. The extinction event which apparently almost devastated the low latitude chondrichthyan fauna in Morocco cannot be supported at Stevns Klint. The claimed major extinction event which has been assumed to have impacted the chondrichthyans at the K/T-boundary is here assumed to be primarily a result of the analysing technic used rather than a real extinction event. With the present data it is not possible to conclude whether the extinction event was a result of an instantly event or happened gradually, but the impact on the chondrichthyans was much less severe than previously assumed. By the mid Danian the shark fauna had changed radically from the uppermost Maastrichtian – lowermost Danian fauna presumably as a consequence of a change in bathymetry. ",Adolfssen,"Phd Thesis, Faculty of Science, University of Copenhagen",Thesis,English,Adolfssen 2012,adolfssen 2012
"Aguilera O., de Aguilera D. R., ",2004,,"Giant-toothed White Sharks and Wide-toothed Mako (Lamnidae) from the Venezuela Neogene: Their Role in the Caribbean, Shallow-water Fish Assemblage",Caribbean Journal of Science,,,,,,,,,,,Aguilera,,Journal article,English,Aguilera & de Aguilera 2004,aguilera & de aguilera 2004
"Aguilera O. A., Riff D., Bocquentin-Villanueva J.",2006,,"A new giant Purussaurus (Crocodyliformes, Alligatoridae) from the Upper Miocene Urumaco Formation, Venezuela.",Journal of Systematic Palaeontology,,,,,,,,,,,Aguilera,,Journal article,English,Aguilera et al. 2006,aguilera et al. 2006
"Aguilera O. A., Garcia L., M. A. Cozzuol",2008,,Giant-toothed white sharks and cetacean trophic interaction from the Pliocene Caribbean Paraguaná Formation,Palaontologische Zeitschrift,,,,,,,,,10.1007/bf02988410,,Aguilera,,Journal article,English,Aguilera et al. 2008,aguilera et al. 2008
